Id	LinkId	Desc	CampId	Pos	Pos2	RotAngle	IsEnable	IdleAnimSet	AiLogic	AiParamDesc0	AiParam0	AiParamDesc1	AiParam1	AiParamDesc2	AiParam2	AiParamDesc3	AiParam3	AiParamDesc4	AiParam4	AiParamDesc5	AiParam5	AiParamDesc6	AiParam6	AiParamDesc7	AiParam7
20001	1		3	60.03981 160.1199 8.845226		247.41385	FALSE		0																
20002	2		3	60.03981 160.1199 8.845226		247.41385	FALSE		0																
#A区																									
1001	202504	托赖辟玛剑盾兵	2	51.33207 160.5366 9.543892		74.1899	FALSE	15|16|17	20001		0														
1002	202504	托赖辟玛剑盾兵	2	51.95571 160.5366 11.89865		39.3571	FALSE	15|16|17	20001		0														
1003	202504	托赖辟玛剑盾兵	2	52.61535 160.5913 13.95288		104.6849	FALSE	15|16|17	20001		0														
1004	202504	托赖辟玛剑盾兵	2	48.44564 160.5366 9.860398		53.1889	FALSE	15|16|17	20001		0														
1005	202505	托赖辟玛长矛兵	2	48.54342 160.5366 12.33575		49.9041	FALSE	15|16|17	20001		0														
1006	202505	托赖辟玛长矛兵	2	49.31378 160.565 14.56849		72.9333	FALSE	15|16|17	20001		0														
1101	202504	托赖辟玛剑盾兵	2	40.01102 160.5366 17.99799		74.1899	FALSE	15|16|17	20001		0														
1102	202504	托赖辟玛剑盾兵	2	37.79573 160.5366 19.38971		39.3571	FALSE	15|16|17	20001		0														
1103	202504	托赖辟玛剑盾兵	2	41.17066 160.5366 19.23113		104.6849	FALSE	15|16|17	20001		0														
1104	202505	托赖辟玛长矛兵	2	38.89025 160.5366 16.53223		53.1889	FALSE	15|16|17	20001		0														
1105	202505	托赖辟玛长矛兵	2	39.12185 160.5366 21.19695		49.9041	FALSE	15|16|17	20001		0														
1106	202505	托赖辟玛长矛兵	2	36.77719 160.5366 17.86497		72.9333	FALSE	15|16|17	20001		0														
#B区																									
2001	202504	托赖辟玛剑盾兵	2	35.27058 160.5366 40.01854		157.1873	FALSE	15|16|17	20001		0														
2002	202504	托赖辟玛剑盾兵	2	37.71983 160.5366 39.02792		223.1635	FALSE	15|16|17	20001		0														
2003	202504	托赖辟玛剑盾兵	2	40.6979 160.5366 37.58236		242.3032	FALSE	15|16|17	20001		0														
2004	202504	托赖辟玛剑盾兵	2	44.71482 160.5366 40.16994		226.3335	FALSE	15|16|17	20001		0														
2005	202505	托赖辟玛长矛兵	2	41.884 160.5366 40.52055		168.3689	FALSE	15|16|17	20001		0														
2006	202505	托赖辟玛长矛兵	2	41.27124 160.5366 43.91626		143.7747	FALSE	15|16|17	20001		0														
2007	202505	托赖辟玛长矛兵	2	38.8478 160.5366 42.79827		234.3452	FALSE	15|16|17	20001		0														
2101	202506	托赖辟玛弩箭兵	2	29.80951 160.5366 39.17828		157.1873	FALSE	15|16|17	20002		0														
2102	202506	托赖辟玛弩箭兵	2	28.31194 160.5366 37.49701		223.1635	FALSE	15|16|17	20002		0														
2103	202506	托赖辟玛弩箭兵	2	44.1212 160.5366 51.08185		242.3032	FALSE	15|16|17	20002		0														
2104	202506	托赖辟玛弩箭兵	2	46.5677 160.5366 50.16824		226.3335	FALSE	15|16|17	20002		0														
2105	202506	托赖辟玛弩箭兵	2	48.70056 160.5366 49.82932		168.3689	FALSE	15|16|17	20002		0														
2106	202506	托赖辟玛弩箭兵	2	51.22781 160.5366 48.70909		143.7747	FALSE	15|16|17	20002		0														
2107	202506	托赖辟玛弩箭兵	2	39.99157 160.5366 33.96177		234.3452	FALSE	15|16|17	20002		0														
2108	202506	托赖辟玛弩箭兵	2	39.08712 160.5366 32.6357		220.3987	FALSE	15|16|18	20002		0														
#C区																									
3001	202504	托赖辟玛剑盾兵	2	60.00136 160.5366 66.27192		323.5385	FALSE	15|16|17	20001		0														
3002	202504	托赖辟玛剑盾兵	2	58.12969 160.5366 68.45699		145.5338	FALSE	15|16|17	20001		0														
3003	202504	托赖辟玛剑盾兵	2	56.06295 160.5366 69.65421		145.5338	FALSE	15|16|17	20001		0														
3004	202505	托赖辟玛长矛兵	2	53.45967 160.5366 70.92288		322.7434	FALSE	15|16|17	20001		0														
3005	202505	托赖辟玛长矛兵	2	61.5676 160.5366 71.66856		322.7434	FALSE	15|16|17	20001		0														
3006	202505	托赖辟玛长矛兵	2	64.1134 160.5366 69.76511		143.48	FALSE	15|16|17	20001		0														
3007	202506	托赖辟玛弩箭兵	2	52.05468 160.5366 77.78506		143.48	FALSE	15|16|17	20002		0														
3008	202506	托赖辟玛弩箭兵	2	50.18125 160.6086 76.90005		235.0587	FALSE	15|16|17	20002		0														
3101	202506	托赖辟玛弩箭兵	2	66.62215 160.5366 65.60515		145.5338	FALSE	15|16|17	20002		0														
3102	202506	托赖辟玛弩箭兵	2	64.15982 160.5366 63.49611		145.5338	FALSE	15|16|17	20002		0														
3103	202506	托赖辟玛弩箭兵	2	60.11379 160.5366 77.18181		322.7434	FALSE	15|16|17	20002		0														
3104	202506	托赖辟玛弩箭兵	2	63.11386 160.5366 76.14236		322.7434	FALSE	15|16|17	20002		0														
3105	202506	托赖辟玛弩箭兵	2	72.24874 160.5366 71.62004		143.48	FALSE	15|16|17	20002		0														
3106	202506	托赖辟玛弩箭兵	2	70.47536 160.5366 67.8429		143.48	FALSE	15|16|17	20002		0														
3107	202507	壮汉大锤（BOSS）	2	55.44263 160.5366 65.32249		323.5385	FALSE	15|16|17	20001		0														
