Id	ItemID	ItemName	DayLimit	Price	ItemNum	Currency
			#每日可购买次数（0-无限制，其他值-上限次数）	#每次售价	#每次购买获得数量	消耗货币类型
1	45202	西芙·鱼头帽	1	120	1	200001
2	45203	西芙·海龙甲	1	120	1	200001
3	45204	西芙·龙鳞鞋	1	100	1	200001
4	45205	西芙·海星坠	1	120	1	200001
5	45206	西芙·贝戒	1	120	1	200001
6	302011	羽毛翅膀	1	450	1	200001
7	410006	魔石·人鱼王子	1	30	5	200001
8	303020	中级聚魂瓶	1	50	2	200001
9	410001	魔石·席列	1	25	5	200007
10	410002	魔石·忽伦	1	30	5	200007
11	410004	魔石·布布	1	25	5	200007
12	410005	魔石·蕾咪	1	30	5	200007
13	101001	霜月星尘	1	20	20	200007
14	101002	冥海散魂	1	20	20	200007
15	101003	日曜矿石	1	20	20	200007
16	101004	圣痕石	1	20	20	200007
17	23101	精铁剑	0	0	1	200008
18	23105	苹果吊坠	0	0	1	200008
19	23103	铁甲	0	0	1	200008
20	23102	铁盔	0	0	1	200008
21	23106	四叶草戒指	0	0	1	200008
22	24104	晶石战靴	0	0	1	200008
23	34101	月光银剑	0	0	1	200008
24	34102	耀银盔	0	0	1	200008
25	34103	耀银铠甲	0	0	1	200008
26	34104	耀银靴	0	0	1	200008
27	34105	翼蛇吊坠	0	0	1	200008
28	34106	鱼人戒指	0	0	1	200008
29	106	月卡	0	0	1	200008
30	105	扫荡券	0	0	100	200008
31	104	复活石	0	0	100	200008
32	200001	贝币	0	0	100	200008
33	200007	荣誉勋章	0	0	100	200008
34	410001	魔石·席列	0	0	100	200008
35	410002	魔石·忽伦	0	0	100	200008
36	410003	魔石·蒙多	0	0	100	200008
37	410004	魔石·布布	0	0	100	200008
38	410005	魔石·蕾咪	0	0	100	200008
39	410006	魔石·人鱼王子	0	0	100	200008
40	410007	魔石·护法王	0	0	100	
41	410008	魔石·炎兽	0	0	100	
42	410009	魔石·伊娜	0	0	100	
43	410010	魔石·朱洛夫	0	0	100	
44	410011	魔石·大将军	0	0	100	
45	410012	魔石·骷髅将军	0	0	100	
46	410013	魔石·萨菲勒	0	0	100	
47	410014	魔石·贝蒂	0	0	100	
48	410015	魔石·阿福	0	0	100	
49	410016	魔石·里斯	0	0	100	
50	400001	增强药剂	0	0	100	200008
51	303010	初级聚魂瓶	0	0	100	200008
52	303020	中级聚魂瓶	0	0	100	200008
53	303030	高级聚魂瓶	0	0	100	200008
54	846101	人鱼王·王剑	0	0	20	200008
55	846102	人鱼王·王冠	0	0	20	200008
56	846103	人鱼王·龙袍	0	0	20	200008
57	846104	人鱼王·龙靴	0	0	20	200008
58	846105	人鱼王·金扣	0	0	20	200008
59	846106	人鱼王·玉指	0	0	20	200008
60	846107	人鱼王·王刀	0	0	20	200008
61	846108	人鱼王·王套	0	0	20	
62	846201	奥丁·神之剑	0	0	20	
63	846202	奥丁·大金盔	0	0	20	200008
64	846203	奥丁·天父袍	0	0	20	200008
65	846204	奥丁·双狼靴	0	0	20	200008
66	846205	奥丁·智慧石	0	0	20	200008
67	846206	奥丁·记忆环	0	0	20	200008
68	846207	奥丁·神之刃	0	0	20	200008
69	846208	奥丁·神之手	0	0	20	
70	854101	爱神·心剑	0	0	20	
71	854102	爱神·情意盔	0	0	20	
72	854103	爱神·蜜法衣	0	0	20	
73	854104	爱神·情侣鞋	0	0	20	
74	854105	爱神·同心环	0	0	20	
75	854106	爱神·玫瑰戒	0	0	20	
76	854107	爱神·心刀	0	0	20	
77	854108	爱神·暖手套	0	0	20	
78	855101	月神·寒光剑	0	0	20	200008
79	855102	月神·轻纱帽	0	0	20	200008
80	855103	月神·幻羽衣	0	0	20	200008
81	855104	月神·夜影靴	0	0	20	200008
82	855105	月神·月牙坠	0	0	20	200008
83	855106	月神·流星戒	0	0	20	200008
84	855107	月神·狩猎刃	0	0	20	200008
85	855108	月神·倩影套	0	0	20	
86	855201	死神·嗜血刀	0	0	20	
87	855202	死神·幽灵盔	0	0	20	
88	855203	死神·魔星袍	0	0	20	
89	855204	死神·蚀骨靴	0	0	20	
90	855205	死神·黑心链	0	0	20	
91	855206	死神·毒蛇戒	0	0	20	
92	855207	死神·夺命刃	0	0	20	
93	855208	死神·幽冥套	0	0	20	
94	700001	测试翅膀1	0	0	1	
95	700002	测试翅膀2	0	0	1	
96	302011	羽毛翅膀	0	0	1	200008
97	101001	霜月星尘	0	0	100	200008
98	101002	冥海散魂	0	0	100	200008
99	101003	日曜矿石	0	0	100	200008
100	101004	圣痕石	0	0	100	200008
101	101005	生命精华	0	0	100	
102	101006	火之精华	0	0	100	
103	101007	死亡精华	0	0	100	
104	303011	初级魂石	0	0	10	
105	303021	中级魂石	0	0	10	
106	303031	高级魂石	0	0	10	
107	101001	霜月星尘	1	300	50	102
108	101002	冥海散魂	1	300	50	102
109	101003	日曜矿石	1	300	50	102
110	101004	圣痕石	1	300	50	102
111	303030	高级聚魂瓶	1	450	3	102
112	302011	羽毛翅膀	1	1099	1	102
113	400001	增强药剂	0	200	10	102
