Id	LinkId	Desc	CampId	Pos	Pos2	RotAngle	IsEnable	IdleAnimSet	AiLogic	AiParamDesc0	AiParam0	AiParamDesc1	AiParam1	AiParamDesc2	AiParam2	AiParamDesc3	AiParam3	AiParamDesc4	AiParam4	AiParamDesc5	AiParam5	AiParamDesc6	AiParam6	AiParamDesc7	AiParam7
20001	1		3	21.87095 148.5876 20.36232		51.58376	FALSE		0																
20002	2		3	21.87095 148.5876 20.36232		51.58376	FALSE		0																
#A区																									
1001	201706	王国军长矛兵	2	39.06698 146.7943 30.09304		243.0146	FALSE	15|16	20001		0														
1002	201701	王国军火枪兵	2	33.86686 146.7943 36.19501		180.8434	FALSE	15|16	20002		0														
1003	201701	王国军火枪兵	2	39.12418 146.7943 37.08592		219.7893	FALSE	15|16	20002		0														
1004	201706	王国军长矛兵	2	35.1037 146.7943 26.50846		261.51	FALSE	15|16	20001		0														
1005	201701	王国军火枪兵	2	42.63653 146.7943 29.26973		261.5779	FALSE	15|16	20002		0														
1006	201701	王国军火枪兵	2	40.35136 146.7943 33.03441		227.5863	FALSE	15|16	20002		0														
1007	201701	王国军火枪兵	2	45.10593 146.7943 25.44907		281.4795	FALSE	15|16	20002		0														
1008	201706	王国军长矛兵	2	32.82562 146.7943 28.93678		232.8772	FALSE	15|16	20001		0														
1009	201701	王国军火枪兵	2	40.59194 146.7943 24.34187		288.5449	FALSE	15|16	20002		0														
#B区			 																						
2001	201702	王国军霰弹枪兵	2	46.54303 146.7943 43.93005		217.8164	FALSE	15|16	20001		0														
2002	201702	王国军霰弹枪兵	2	48.99809 146.7933 41.1358		237.3411	FALSE	15|16	20001		0														
2003	201702	王国军霰弹枪兵	2	51.22189 146.7857 38.9539		231.1242	FALSE	15|16	20001		0														
2004	201707	银盾军长枪兵	2	60.29305 146.7688 50.72192		237.6192	FALSE	15|16	20005		0				200201										
