Id	LinkId	CampId	Pos	Pos2	RotAngle	IsEnable	IdleAnimSet	AiLogic	AiParamDesc0	AiParam0	AiParamDesc1	AiParam1	AiParamDesc2	AiParam2	AiParamDesc3	AiParam3	AiParamDesc4	AiParam4	AiParamDesc5	AiParam5	AiParamDesc6	AiParam6	AiParamDesc7	AiParam7
20001	1	3	88.68639 159.8975 10.36574		-110.7426	FALSE		0																
20002	2	3	88.68639 159.8975 10.36574		-110.7426	FALSE		0																
#A区																								
1001	101201	2	76.4867 159.8975 13.58884		107.0505	FALSE	15|16	10110		0														
1002	101201	2	77.46957 159.8975 5.760567		74.99374	FALSE	15|16	10110		0														
1003	101201	2	68.45481 159.8975 13.00184		110.1379	FALSE	15|16	10110		0														
1004	101201	2	62.05411 159.8975 20.80519		107.0505	FALSE	15|16	10110		0														
1005	101201	2	54.83782 159.8975 28.54225		107.0505	FALSE	15|16	10110		0														
1006	101201	2	46.35681 159.8975 35.23777		107.0505	FALSE	15|16	10110		0														
1007	101203	2	48.41093 159.8975 28.26911		97.27791	FALSE	15|16	10120		0														
1008	101203	2	49.46846 159.8975 35.24202		134.5432	FALSE	15|16	10120		0														
1009	101202	2	73.89422 159.8975 12.19056		86.92253	FALSE	15|16	10120		0														
1101	101204	2	67.19295 159.8975 4.806345		76.25581	FALSE	15|16	10110		0														
1102	101206	2	61.13353 159.8975 11.45084		95.82851	FALSE	15|16	10120		0														
1103	101206	2	65.8277 159.8975 17.44369		129.0323	FALSE	15|16	10120		0														
1201	101204	2	60.49464 159.8975 12.45643		98.58691	FALSE	15|16	10110		0														
1202	101205	2	74.13493 159.8975 1.622924		359.6563	FALSE	15|16	10120		0														
1203	101205	2	74.70279 159.8975 17.05054		191.6915	FALSE	15|16	10120		0														
1301	101204	2	48.22234 159.8975 28.09166		76.17361	FALSE	15|16	10110		0														
1302	101204	2	53.57073 159.8975 36.02621		174.7751	FALSE	15|16	10110		0														
1303	101205	2	42.49709 159.8975 38.63629		135.6884	FALSE	15|16	10120		0														
#B区																								
2001	101203	2	21.40136 159.8975 55.14004		130.3152	FALSE	15|16	10120		0														
2002	101203	2	24.0168 159.8975 60.89668		181.5153	FALSE	15|16	10120		0														
2003	101203	2	17.35715 159.8975 58.81093		120.8488	FALSE	15|16	10120		0														
2004	101202	2	22.49105 159.8975 51.4619		116.4512	FALSE	15|16	10120		0														
2005	101202	2	25.65235 159.8975 54.8595		141.7847	FALSE	15|16	10120		0														
2006	101202	2	29.13671 159.8975 57.65651		157.8131	FALSE	15|16	10120		0														
2007	101204	2	30.24591 159.8975 64.45767		209.6492	FALSE	15|16	10110		0														
2008	101204	2	35.01312 159.8975 59.01692		248.264	FALSE	15|16	10110		0														
2009	101204	2	30.24591 159.8975 64.45767		209.6492	FALSE	15|16	10110		0														
2010	101205	2	35.01312 159.8975 59.01692		248.264	FALSE	15|16	10120		0														
2011	101204	2	36.84267 159.8975 52.17284		285.2897	FALSE	15|16	10110		0														
2012	101204	2	34.37382 159.8975 47.6295		312.8633	FALSE	15|16	10110		0														
2013	101205	2	30.2549 159.8975 44.32098		348.1366	FALSE	15|16	10120		0														
#C区																								
3001	101207	2	76.54012 159.8979 86.57928		201.241	FALSE	15|16	20005		0				300064										
3002	101203	2	71.28246 159.8979 87.53876		184.9397	FALSE	15|16	10120		0														
3003	101203	2	80.46705 159.8979 83.96262		237.6877	FALSE	15|16	10120		0														
3004	101201	2	65.8243 159.9781 79.12495		228.8177	FALSE	15|16	10110		0														
3005	101201	2	67.35365 159.9781 75.56564		259.9557	FALSE	15|16	10110		0														
3006	101202	2	56.38341 159.8979 74.81937		226.2283	FALSE	15|16	10120		0														
3007	101202	2	60.78574 159.8979 74.06116		245.8456	FALSE	15|16	10120		0														
3008	101202	2	75.60756 159.8979 76.13493		252.6048	FALSE	15|16	10120		0														
3009	101202	2	71.90477 159.8979 79.82092		226.4099	FALSE	15|16	10120		0														
3010	101202	2	67.43613 159.8979 84.20571		183.7891	FALSE	15|16	10120		0														
#Story																								
10001	101299	1	91.09938 159.8975 8.793242		-96.1857	TRUE		20001		0														
