Id	LinkId	CampId	Pos	Pos2	RotAngle	IsEnable	IdleAnimSet	AiLogic	AiParamDesc0	AiParam0	AiParamDesc1	AiParam1	AiParamDesc2	AiParam2	AiParamDesc3	AiParam3	AiParamDesc4	AiParam4	AiParamDesc5	AiParam5	AiParamDesc6	AiParam6	AiParamDesc7	AiParam7
20001	1	3	14.5226 150.5559 11.87419		273.7898288	FALSE		0																
20002	2	3	14.5226 150.5559 11.87419		181.7649007	FALSE		0																
#A区																								
1001	206114	2	22.0941 150.5559 24.19927		269.99584	FALSE	15|16	20005		0				101300										
1002	206111	2	30.27846 150.5559 20.54917		337.0574155	FALSE	15|16	20005		0				101101										
1003	206111	2	29.47791 150.5559 12.91892		31.12575296	FALSE	15|16	20005		0				101101										
1101	206102	2	20.55261 150.5559 19.32068		19.9414908	FALSE	15|16	20005		0				101200										
1102	206102	2	23.97805 150.5559 21.17949		237.0381464	FALSE	15|16	20005		0				101200										
1103	206102	2	24.23785 150.5559 14.71778		304.9646772	FALSE	15|16	20005		0				101200										
1104	206102	2	27.79705 150.5559 16.40615		84.5033725	FALSE	15|16	20005		0				101200										
1201	206103	2	18.72631 150.5559 21.39839		169.0984059	FALSE	15|16	20005		0				101400										
1202	206103	2	25.3698 150.5559 23.57241		119.922242	FALSE	15|16	20005		0				101400										
1203	206103	2	25.93968 150.5559 13.18859		155.4582689	FALSE	15|16	20005		0				101400										
1204	206103	2	33.49445 150.5559 16.90209		94.71143495	FALSE	15|16	20005		0				101400										
#B区																								
2001	206114	2	46.20548 150.5559 36.56511		341.0023857	FALSE	15|16	20005		0														
2002	206101	2	39.65255 150.5559 40.02007		260.6869506	FALSE	15|16	20005		0				101300										
2003	206101	2	51.54411 150.5559 43.09231		277.9119155	FALSE	15|16	20005		0				101100										
2004	206101	2	47.8377 150.5559 32.45599		287.5849984	FALSE	15|16	20005		0				101100										
2101	206112	2	42.21464 150.5559 35.46439		133.8372165	FALSE	15|16	20005		0				101201										
2102	206102	2	45.90095 150.5559 41.50571		176.1034332	FALSE	15|16	20005		0				101200										
2103	206102	2	52.67436 150.5559 36.88845		199.8141053	FALSE	15|16	20005		0				101200										
2201	206113	2	41.20793 150.5559 41.23175		135.5558345	FALSE	15|16	20005		0				101401										
2202	206103	2	52.86773 150.5559 41.4603		116.3906415	FALSE	15|16	20005		0				101400										
2203	206103	2	44.7073 150.5559 32.56954		204.6031957	FALSE	15|16	20005		0				101400										
#C区																								
3001	206121	2	40.87753 150.5559 66.86636		156.5087642	FALSE	15|16	1		0														
3002	206101	2	35.25697 150.5559 66.59513		76.66886502	FALSE	15|16	20005		0				101100										
3003	206101	2	41.63641 150.5559 72.34623		132.0975609	FALSE	15|16	20005		0				101100										
3101	206112	2	33.78414 150.5559 64.33063		53.33547993	FALSE	15|16	20005		0				101201										
3102	206112	2	38.74719 150.5559 60.18975		255.4487016	FALSE	15|16	20005		0				101201										
3103	206102	2	45.73926 150.5559 63.51517		86.68307385	FALSE	15|16	20005		0				101200										
3104	206102	2	43.92702 150.5559 69.4278		132.3142624	FALSE	15|16	20005		0				101200										
3201	206113	2	34.55887 150.5559 72.0295		200.5470352	FALSE	15|16	20005		0				101401										
3202	206113	2	38.58665 150.5559 74.18514		148.1187979	FALSE	15|16	20005		0				101401										
3203	206103	2	41.39735 150.5559 56.61967		157.1579264	FALSE	15|16	20005		0				101400										
3204	206103	2	47.61289 150.5559 59.36853		59.35482755	FALSE	15|16	20005		0				101400										
