Id	LinkId	CampId	Pos	Pos2	RotAngle	IsEnable	IdleAnimSet	AiLogic	AiParamDesc0	AiParam0	AiParamDesc1	AiParam1	AiParamDesc2	AiParam2	AiParamDesc3	AiParam3	AiParamDesc4	AiParam4	AiParamDesc5	AiParam5	AiParamDesc6	AiParam6	AiParamDesc7	AiParam7
20001	1	3	18.90468 160.4872 32.46505		150.4577195	FALSE		0																
20002	2	3	18.90468 160.4872 32.46505		285.8136818	FALSE		0																
#A区																								
1001	205612	2	30.88909 160.4872 28.89248		269.0182157	FALSE	15|16	1		0														
1002	205601	2	34.12447 160.4872 29.51118		347.3784841	FALSE	15|16	1		0														
1003	205602	2	33.23806 160.4872 26.09658		227.0382928	FALSE	15|16	1		0														
1004	205603	2	33.00849 160.4872 32.97776		96.58207998	FALSE	15|16	1		0														
1005	205601	2	36.20875 160.4872 30.53423		61.38622957	FALSE	15|16	1		0														
1006	205602	2	36.57407 160.4872 29.72246		34.78301327	FALSE	15|16	1		0														
1007	205603	2	40.57839 160.4872 29.39722		244.2271523	FALSE	15|16	1		0														
1008	205601	2	31.70254 160.4872 24.32243		210.4474534	FALSE	15|16	1		0														
1009	205602	2	35.5055 160.4872 25.69318		87.49487848	FALSE	15|16	1		0														
1010	205603	2	39.06277 160.4872 26.59784		148.8491366	FALSE	15|16	1		0														
#B区																								
2001	205611	2	44.20484 165.1219 62.61336		2.458522853	FALSE	15|16	1		0														
2002	205611	2	36.63721 165.1219 69.35146		222.7478164	FALSE	15|16	1		0														
2003	205613	2	39.28208 165.1219 72.23166		355.2796322	FALSE	15|16	1		0														
2004	205601	2	44.96188 165.1219 72.29489		16.01050702	FALSE	15|16	1		0														
2005	205601	2	48.81528 165.1219 69.96756		178.4823206	FALSE	15|16	1		0														
2006	205601	2	51.10974 165.1219 64.83232		319.2446185	FALSE	15|16	1		0														
2007	205601	2	54.2061 165.1219 62.26437		347.4472221	FALSE	15|16	1		0														
#C区																								
3001	205621	2	71.99165 168.125 49.26789		138.0637677	FALSE	15|16	1		0														
3002	205611	2	76.17224 168.125 52.80781		95.26110808	FALSE	15|16	1		0														
3003	205611	2	74.55161 168.125 44.97723		324.0367643	FALSE	15|16	1		0														
3004	205611	2	81.84679 168.125 45.83528		167.9876619	FALSE	15|16	1		0														
3005	205611	2	84.5167 168.1365 50.68975		250.4254846	FALSE	15|16	1		0														
