Id	LinkId	Desc	CampId	Pos	Pos2	RotAngle	IsEnable	IdleAnimSet	AiLogic	AiParamDesc0	AiParam0	AiParamDesc1	AiParam1	AiParamDesc2	AiParam2	AiParamDesc3	AiParam3	AiParamDesc4	AiParam4	AiParamDesc5	AiParam5	AiParamDesc6	AiParam6	AiParamDesc7	AiParam7
20001	1		3	34.55268 165.6 9.149801		-262.8088	FALSE		0																
20002	2		3	34.55268 165.6 9.149801		-262.8088	FALSE		0																
#A区																									
1001	204706	银盾军长枪兵	2	44 167 9		143.0114	FALSE	15|16	20005		0				200201										
1002	204701	王国军长矛兵	2	44 167 7		179.2918	FALSE	15|16	20001		0														
1003	204701	王国军长矛兵	2	44 167 5		177.8518	FALSE	15|16	20001		0														
#B区																									
2001	204706	银盾军长枪兵	2	51.5 167 24.8		252.3835	FALSE	15|16	20005		0				200201										
2002	204706	银盾军长枪兵	2	49.5 167 25.3		252.3835	FALSE	15|16	20005		0				200201										
2003	204702	王国军火枪兵	2	51 167 26		189.2112	FALSE	15|16	20002		0														
2004	204702	王国军火枪兵	2	46.2 167 24.4		210.0785	FALSE	15|16	20002		0														
2005	204703	王国军霰弹枪兵	2	53 167 22		149.0485	FALSE	15|16	20001		0														
2006	204704	银盾军激光枪兵	2	55 167 37		128.1811	FALSE	15|16	20001		0														
2007	204703	王国军霰弹枪兵	2	56 167 36		143.0114	FALSE	15|16	20001		0														
2101	204706	银盾军长枪兵	2	44.7 167 40		125.1096	FALSE	15|16	20005		0				200201										
2102	204705	银盾军剑盾兵	2	43.8 167 38.2		179.2918	FALSE	15|16	20005		0				200101										
2103	204702	王国军火枪兵	2	42.8 167 36.5		252.3835	FALSE	15|16	20002		0														
2104	204702	王国军火枪兵	2	43.2 167 40.5		189.2112	FALSE	15|16	20002		0														
2105	204702	王国军火枪兵	2	41.89 167 38.62		210.0785	FALSE	15|16	20002		0														
2106	204702	王国军火枪兵	2	42 167 41.8		149.0485	FALSE	15|16	20002		0														
2107	204702	王国军火枪兵	2	40.4 167 40		128.1811	FALSE	15|16	20002		0														
2201	204706	银盾军长枪兵	2	41.36 167 52.8		143.0114	FALSE	15|16	20005		0				200201										
2202	204706	银盾军长枪兵	2	44.4 167 52.53		125.1096	FALSE	15|16	20005		0				200201										
2203	204701	王国军长矛兵	2	39.8 167 53.9		179.2918	FALSE	15|16	20001		0														
2204	204701	王国军长矛兵	2	46 167 53.3		177.8518	FALSE	15|16	20001		0														
2205	204701	王国军长矛兵	2	42.78 167 50.8		154.285	FALSE	15|16	20001		0														
#C区																									
3001	204705	银盾军剑盾兵	2	50.4 167 83.8		179.2918	FALSE	15|16	20005		0				200101										
3002	204702	王国军火枪兵	2	52.6 167 84.8		149.0485	FALSE	15|16	20002		0														
3003	204701	王国军长矛兵	2	40.4 167 72.2		143.0114	FALSE	15|16	20001		0														
3101	204701	王国军长矛兵	2	39 167 74		179.2918	FALSE	15|16	20001		0														
3102	204702	王国军火枪兵	2	40 167 75		213.4835	FALSE	15|16	20002		0														
3103	204706	银盾军长枪兵	2	58.8 167 71.1		206.1639	FALSE	15|16	20005		0				200201										
3201	204707	萨菲勒	2	53.1 167 78.6		125.1096	FALSE	15|16	20005		0				300005										
