Id	LinkId	CampId	Pos	Pos2	RotAngle	IsEnable	IdleAnimSet	AiLogic	AiParamDesc0	AiParam0	AiParamDesc1	AiParam1	AiParamDesc2	AiParam2	AiParamDesc3	AiParam3	AiParamDesc4	AiParam4	AiParamDesc5	AiParam5	AiParamDesc6	AiParam6	AiParamDesc7	AiParam7
20001	1	3	8.015327 151.4801 6.598557		90	FALSE		0																
20002	2	3	8.015327 151.4801 6.598557		90	FALSE		0																
#A区																								
1001	102801	2	34.82552 150.068 16.59673		234.6217	FALSE	15|16	20001		0														
1002	102801	2	32.15367 150.068 22.56749		220.241	FALSE	15|16	20001		0														
1003	102801	2	39.3752 150.068 23.97772		220.241	FALSE	15|16	20001		0														
1004	102801	2	35.72607 150.068 28.98058		220.241	FALSE	15|16	20001		0														
1005	102801	2	46.61478 150.068 21.47254		246.2241	FALSE	15|16	20001		0														
1101	102805	2	33.5737 150.0925 30.16617		187.1649	FALSE	15|16	20002		0														
1102	102805	2	48.28951 150.0925 19.93935		259.8969	FALSE	15|16	20002		0														
1103	102805	2	41.8789 150.0925 27.10806		207.9209	FALSE	15|16	20002		0														
1201	102804	2	26.84852 150.068 15.14632		73.24036	FALSE	15|16	20001		0														
1202	102804	2	48.28834 150.068 20.43686		270.3167	FALSE	15|16	20001		0														
1203	102804	2	33.51762 150.068 29.62596		165.2758	FALSE	15|16	20001		0														
1204	102805	2	42.17216 150.0925 29.14759		208.446	FALSE	15|16	20002		0														
1205	102805	2	38.87001 150.0925 14.26514		354.688	FALSE	15|16	20002		0														
#B区																								
2001	102801	2	31.08886 150.0925 44.9782		166.3945	FALSE	15|16	20001		0														
2002	102801	2	36.07627 150.0925 48.88439		185.8705	FALSE	15|16	20001		0														
2003	102801	2	31.87918 150.0925 52.86058		185.8705	FALSE	15|16	20001		0														
2004	102801	2	40.67818 150.0925 55.81811		232.3581	FALSE	15|16	20001		0														
2005	102801	2	47.23153 150.0925 57.73257		232.358	FALSE	15|16	20001		0														
2101	102806	2	25.14295 150.0925 48.04114		130.368	FALSE	15|16	10220		0														
2102	102806	2	39.15525 150.0925 51.51063		186.3858	FALSE	15|16	10220		0														
2103	102806	2	30.09134 150.0925 56.00205		170.3306	FALSE	15|16	10220		0														
2201	102804	2	34.50063 150.0925 39.65627		4.650021	FALSE	15|16	20001		0														
2202	102804	2	28.72107 150.0925 44.35207		50.14064	FALSE	15|16	20001		0														
2203	102806	2	24.62353 150.0925 53.48362		113.2823	FALSE	15|16	10220		0														
2204	102806	2	46.68232 150.0925 62.62041		229.9142	FALSE	15|16	10220		0														
#C区																								
3001	102807	2	68.96573 150.0925 68.58831		240.6411	FALSE	15|16	20005		0				102100										
3002	102803	2	60.22229 150.0925 70.36122		220.8977	FALSE	15|16	10220		0														
3003	102803	2	64.91268 150.0925 65.35551		247.5987	FALSE	15|16	10220		0														
3004	102803	2	66.73116 150.0925 58.63974		267.5153	FALSE	15|16	10220		0														
3101	102806	2	68.38576 150.0925 79.20245		195.401	FALSE	15|16	10220		0														
3102	102806	2	75.47011 150.0925 71.53207		242.1132	FALSE	15|16	10220		0														
3201	102806	2	53.93152 150.0925 73.30743		142.2913	FALSE	15|16	10220		0														
3202	102806	2	64.40561 150.0925 54.33871		353.6967	FALSE	15|16	10220		0														
3301	102806	2	52.96618 150.0925 65.62056		68.84508	FALSE	15|16	10220		0														
3302	102806	2	73.92183 150.0925 74.99603		233.7628	FALSE	15|16	10220		0														
3303	102806	2	56.28185 150.0925 58.62109		57.8391	FALSE	15|16	10220		0														
#剧情																								
10001	102899	3	5.233381 181.9377 4.748626		90	TRUE		20001		0														
10002	102898	3	6.170926 181.9377 6.259109		90	TRUE		20001		0														
10003	102897	3	6.431351 181.9377 4.071535		90	TRUE		20001		0														
