Id	LinkId	Desc	CampId	Pos	Pos2	RotAngle	IsEnable	IdleAnimSet	AiLogic	AiParamDesc0	AiParam0	AiParamDesc1	AiParam1	AiParamDesc2	AiParam2	AiParamDesc3	AiParam3	AiParamDesc4	AiParam4	AiParamDesc5	AiParam5	AiParamDesc6	AiParam6	AiParamDesc7	AiParam7
20001	1		3	82.57524 150.0859 10.98451		235.33	FALSE		0																
20002	2		3	82.57524 150.0859 10.98451		235.33	FALSE		0																
#A区																									
1001	106701	矿工锄头	2	73.27051 150.504 15.33875		276.1357	FALSE	15|16|17	20001		0														
1002	106701	矿工锄头	2	75.56492 150.4875 18.74533		55.3235	FALSE	15|16|17	20001		0														
#1003	106701	矿工锄头	2	68.29667 150.497 16.0106		343.2439	FALSE	15|16|17	20001		0														
1004	106701	矿工锄头	2	71.97493 150.5081 18.46278		301.486	FALSE	15|16|17	20001		0														
1005	106702	矿工水晶爆破者	2	73.97904 150.4917 21.14847		111.5594	FALSE	15|16|17	20002		0														
#1006	106702	矿工水晶爆破者	2	72.18434 150.5087 23.6501		264.2877	FALSE	15|16|17	20002		0														
1007	106702	矿工水晶爆破者	2	68.82126 150.4817 19.3449		201.7341	FALSE	15|16|17	20002		0														
1101	106704	小鼠人	2	57.58904 150.5092 22.62109		276.1357	FALSE	15|16|17	20005		0				105300										
1102	106704	小鼠人	2	57.72504 150.5092 25.5143		55.3235	FALSE	15|16|17	20001		0														
#1103	106704	小鼠人	2	58.87164 150.5092 27.72422		343.2439	FALSE	15|16|17	20005		0				105300										
1104	106704	小鼠人	2	60.44369 150.5092 26.35935		301.486	FALSE	15|16|17	20001		0														
#1105	106704	小鼠人	2	59.17686 150.5092 23.82785		111.5594	FALSE	15|16|17	20005		0				105300										
1106	106704	小鼠人	2	59.86172 150.5092 21.18132		264.2877	FALSE	15|16|17	20001		0														
#1107	106704	小鼠人	2	62.27751 150.4873 27.62996		201.7341	FALSE	15|16|17	20005						105300										
1108	106704	小鼠人	2	61.10966 150.501 24.19196		276.1357	FALSE	15|16|17	20001		0														
#B区																									
2001	106701	矿工锄头	2	39.28303 152.3911 25.05498		312.5034	FALSE	15|16|17	20001		0														
2002	106701	矿工锄头	2	40.45918 152.3911 29.23575		103.8918	FALSE	15|16|17	20001		0														
2003	106701	矿工锄头	2	37.43892 152.3911 26.94855		207.5282	FALSE	15|16|17	20001		0														
#2004	106701	矿工锄头	2	38.08692 152.3911 29.80664		179.2458	FALSE	15|16|17	20001		0														
2005	106702	矿工水晶爆破者	2	39.93303 152.3911 26.93057		148.7691	FALSE	15|16|17	20002		0														
2006	106702	矿工水晶爆破者	2	36.27975 152.3911 24.46848		138.3312	FALSE	15|16|17	20002		0														
2101	106704	小鼠人	2	28.14567 152.3911 32.9481		312.5034	FALSE	15|16|17	20001		0														
#2102	106704	小鼠人	2	28.3393 152.3911 27.87103		103.8918	FALSE	15|16|17	20005		0				105300										
2103	106704	小鼠人	2	28.81143 152.4958 22.11653		207.5282	FALSE	15|16|17	20005		0				105300										
#2104	106704	小鼠人	2	32.95484 152.3933 20.574		179.2458	FALSE	15|16|17	20001		0														
